flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeCentral_Length200_Width535_SizeStudio_LayoutA,Central,200,535,Studio,A,71.81,62.23,3
TypeCentral_Length200_Width535_SizeStudio_LayoutB,Central,200,535,Studio,B,71.81,62.23,3
TypeCentral_Length200_Width535_SizeStudio_LayoutC,Central,200,535,Studio,C,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutA,Central,200,535,2room,A,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutB,Central,200,535,2room,B,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutC,Central,200,535,2room,C,71.81,62.23,3
TypeCentral_Length200_Width535_Size3room_LayoutA,Central,200,535,3room,A,71.81,93.35,2
TypeCentral_Length200_Width535_Size3room_LayoutB,Central,200,535,3room,B,71.81,93.35,2
TypeCentral_Length200_Width535_Size3room_LayoutC,Central,200,535,3room,C,71.81,93.35,2
TypeCentral_Length200_Width585_SizeStudio_LayoutA,Central,200,585,Studio,A,72.58,67.74,3
TypeCentral_Length200_Width585_SizeStudio_LayoutB,Central,200,585,Studio,B,72.58,67.74,3
TypeCentral_Length200_Width585_SizeStudio_LayoutC,Central,200,585,Studio,C,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutA,Central,200,585,2room,A,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutB,Central,200,585,2room,B,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutC,Central,200,585,2room,C,72.58,67.74,3
TypeCentral_Length200_Width585_Size3room_LayoutA,Central,200,585,3room,A,72.58,101.61,2
TypeCentral_Length200_Width585_Size3room_LayoutB,Central,200,585,3room,B,72.58,101.61,2
TypeCentral_Length200_Width585_Size3room_LayoutC,Central,200,585,3room,C,72.58,101.61,2
TypeCentral_Length200_Width635_SizeStudio_LayoutA,Central,200,635,Studio,A,77.1,46.26,5
TypeCentral_Length200_Width635_SizeStudio_LayoutB,Central,200,635,Studio,B,77.1,46.26,5
TypeCentral_Length200_Width635_SizeStudio_LayoutC,Central,200,635,Studio,C,77.1,46.26,5
TypeCentral_Length200_Width635_Size2room_LayoutA,Central,200,635,2room,A,77.1,77.1,3
TypeCentral_Length200_Width635_Size2room_LayoutB,Central,200,635,2room,B,77.1,77.1,3
TypeCentral_Length200_Width635_Size2room_LayoutC,Central,200,635,2room,C,77.1,77.1,3
TypeCentral_Length200_Width635_Size3room_LayoutA,Central,200,635,3room,A,77.1,115.65,2
TypeCentral_Length200_Width635_Size3room_LayoutB,Central,200,635,3room,B,77.1,115.65,2
TypeCentral_Length200_Width635_Size3room_LayoutC,Central,200,635,3room,C,77.1,115.65,2
TypeCentral_Length200_Width685_SizeStudio_LayoutA,Central,200,685,Studio,A,77.72,49.74,5
TypeCentral_Length200_Width685_SizeStudio_LayoutB,Central,200,685,Studio,B,77.72,49.74,5
TypeCentral_Length200_Width685_SizeStudio_LayoutC,Central,200,685,Studio,C,77.72,49.74,5
TypeCentral_Length200_Width685_Size2room_LayoutA,Central,200,685,2room,A,77.72,62.17,4
TypeCentral_Length200_Width685_Size2room_LayoutB,Central,200,685,2room,B,77.72,62.17,4
TypeCentral_Length200_Width685_Size2room_LayoutC,Central,200,685,2room,C,77.72,62.17,4
TypeCentral_Length200_Width685_Size3room_LayoutA,Central,200,685,3room,A,77.72,124.35,2
TypeCentral_Length200_Width685_Size3room_LayoutB,Central,200,685,3room,B,77.72,124.35,2
TypeCentral_Length200_Width685_Size3room_LayoutC,Central,200,685,3room,C,77.72,124.35,2
TypeCentral_Length200_Width735_SizeStudio_LayoutA,Central,200,735,Studio,A,78.26,53.22,5
TypeCentral_Length200_Width735_SizeStudio_LayoutB,Central,200,735,Studio,B,78.26,53.22,5
TypeCentral_Length200_Width735_SizeStudio_LayoutC,Central,200,735,Studio,C,78.26,53.22,5
TypeCentral_Length200_Width735_Size2room_LayoutA,Central,200,735,2room,A,78.26,66.52,4
TypeCentral_Length200_Width735_Size2room_LayoutB,Central,200,735,2room,B,78.26,66.52,4
TypeCentral_Length200_Width735_Size2room_LayoutC,Central,200,735,2room,C,78.26,66.52,4
TypeCentral_Length200_Width735_Size3room_LayoutA,Central,200,735,3room,A,78.26,88.7,3
TypeCentral_Length200_Width735_Size3room_LayoutB,Central,200,735,3room,B,78.26,88.7,3
TypeCentral_Length200_Width735_Size3room_LayoutC,Central,200,735,3room,C,78.26,88.7,3
TypeCentral_Length225_Width535_SizeStudio_LayoutA,Central,225,535,Studio,A,73.02,42.71,5
TypeCentral_Length225_Width535_SizeStudio_LayoutB,Central,225,535,Studio,B,73.02,42.71,5
TypeCentral_Length225_Width535_SizeStudio_LayoutC,Central,225,535,Studio,C,73.02,42.71,5
TypeCentral_Length225_Width535_Size2room_LayoutA,Central,225,535,2room,A,73.02,71.19,3
TypeCentral_Length225_Width535_Size2room_LayoutB,Central,225,535,2room,B,73.02,71.19,3
TypeCentral_Length225_Width535_Size2room_LayoutC,Central,225,535,2room,C,73.02,71.19,3
TypeCentral_Length225_Width535_Size3room_LayoutA,Central,225,535,3room,A,73.02,106.78,2
TypeCentral_Length225_Width535_Size3room_LayoutB,Central,225,535,3room,B,73.02,106.78,2
TypeCentral_Length225_Width535_Size3room_LayoutC,Central,225,535,3room,C,73.02,106.78,2
TypeCentral_Length225_Width585_SizeStudio_LayoutA,Central,225,585,Studio,A,73.8,46.49,5
TypeCentral_Length225_Width585_SizeStudio_LayoutB,Central,225,585,Studio,B,73.8,46.49,5
TypeCentral_Length225_Width585_SizeStudio_LayoutC,Central,225,585,Studio,C,73.8,46.49,5
TypeCentral_Length225_Width585_Size2room_LayoutA,Central,225,585,2room,A,73.8,77.49,3
TypeCentral_Length225_Width585_Size2room_LayoutB,Central,225,585,2room,B,73.8,77.49,3
TypeCentral_Length225_Width585_Size2room_LayoutC,Central,225,585,2room,C,73.8,77.49,3
TypeCentral_Length225_Width585_Size3room_LayoutA,Central,225,585,3room,A,73.8,116.23,2
TypeCentral_Length225_Width585_Size3room_LayoutB,Central,225,585,3room,B,73.8,116.23,2
TypeCentral_Length225_Width585_Size3room_LayoutC,Central,225,585,3room,C,73.8,116.23,2
TypeCentral_Length225_Width635_SizeStudio_LayoutA,Central,225,635,Studio,A,78.03,52.67,5
TypeCentral_Length225_Width635_SizeStudio_LayoutB,Central,225,635,Studio,B,78.03,52.67,5
TypeCentral_Length225_Width635_SizeStudio_LayoutC,Central,225,635,Studio,C,78.03,52.67,5
TypeCentral_Length225_Width635_Size2room_LayoutA,Central,225,635,2room,A,78.03,65.84,4
TypeCentral_Length225_Width635_Size2room_LayoutB,Central,225,635,2room,B,78.03,65.84,4
TypeCentral_Length225_Width635_Size2room_LayoutC,Central,225,635,2room,C,78.03,65.84,4
TypeCentral_Length225_Width635_Size3room_LayoutA,Central,225,635,3room,A,78.03,87.78,3
TypeCentral_Length225_Width635_Size3room_LayoutB,Central,225,635,3room,B,78.03,87.78,3
TypeCentral_Length225_Width635_Size3room_LayoutC,Central,225,635,3room,C,78.03,87.78,3
TypeCentral_Length225_Width685_SizeStudio_LayoutA,Central,225,685,Studio,A,78.65,47.19,6
TypeCentral_Length225_Width685_SizeStudio_LayoutB,Central,225,685,Studio,B,78.65,47.19,6
TypeCentral_Length225_Width685_SizeStudio_LayoutC,Central,225,685,Studio,C,78.65,47.19,6
TypeCentral_Length225_Width685_Size2room_LayoutA,Central,225,685,2room,A,78.65,56.63,5
TypeCentral_Length225_Width685_Size2room_LayoutB,Central,225,685,2room,B,78.65,56.63,5
TypeCentral_Length225_Width685_Size2room_LayoutC,Central,225,685,2room,C,78.65,56.63,5
TypeCentral_Length225_Width685_Size3room_LayoutA,Central,225,685,3room,A,78.65,94.38,3
TypeCentral_Length225_Width685_Size3room_LayoutB,Central,225,685,3room,B,78.65,94.38,3
TypeCentral_Length225_Width685_Size3room_LayoutC,Central,225,685,3room,C,78.65,94.38,3
TypeCentral_Length225_Width735_SizeStudio_LayoutA,Central,225,735,Studio,A,79.2,50.49,6
TypeCentral_Length225_Width735_SizeStudio_LayoutB,Central,225,735,Studio,B,79.2,50.49,6
TypeCentral_Length225_Width735_SizeStudio_LayoutC,Central,225,735,Studio,C,79.2,50.49,6
TypeCentral_Length225_Width735_Size2room_LayoutA,Central,225,735,2room,A,79.2,60.59,5
TypeCentral_Length225_Width735_Size2room_LayoutB,Central,225,735,2room,B,79.2,60.59,5
TypeCentral_Length225_Width735_Size2room_LayoutC,Central,225,735,2room,C,79.2,60.59,5
TypeCentral_Length225_Width735_Size3room_LayoutA,Central,225,735,3room,A,79.2,100.98,3
TypeCentral_Length225_Width735_Size3room_LayoutB,Central,225,735,3room,B,79.2,100.98,3
TypeCentral_Length225_Width735_Size3room_LayoutC,Central,225,735,3room,C,79.2,100.98,3
TypeCentral_Length250_Width535_SizeStudio_LayoutA,Central,250,535,Studio,A,74.51,48.43,5
TypeCentral_Length250_Width535_SizeStudio_LayoutB,Central,250,535,Studio,B,74.51,48.43,5
TypeCentral_Length250_Width535_SizeStudio_LayoutC,Central,250,535,Studio,C,74.51,48.43,5
TypeCentral_Length250_Width535_Size2room_LayoutA,Central,250,535,2room,A,74.51,60.54,4
TypeCentral_Length250_Width535_Size2room_LayoutB,Central,250,535,2room,B,74.51,60.54,4
TypeCentral_Length250_Width535_Size2room_LayoutC,Central,250,535,2room,C,74.51,60.54,4
TypeCentral_Length250_Width535_Size3room_LayoutA,Central,250,535,3room,A,74.51,80.71,3
TypeCentral_Length250_Width535_Size3room_LayoutB,Central,250,535,3room,B,74.51,80.71,3
TypeCentral_Length250_Width535_Size3room_LayoutC,Central,250,535,3room,C,74.51,80.71,3
TypeCentral_Length250_Width585_SizeStudio_LayoutA,Central,250,585,Studio,A,75.31,43.93,6
TypeCentral_Length250_Width585_SizeStudio_LayoutB,Central,250,585,Studio,B,75.31,43.93,6
TypeCentral_Length250_Width585_SizeStudio_LayoutC,Central,250,585,Studio,C,75.31,43.93,6
TypeCentral_Length250_Width585_Size2room_LayoutA,Central,250,585,2room,A,75.31,52.71,5
TypeCentral_Length250_Width585_Size2room_LayoutB,Central,250,585,2room,B,75.31,52.71,5
TypeCentral_Length250_Width585_Size2room_LayoutC,Central,250,585,2room,C,75.31,52.71,5
TypeCentral_Length250_Width585_Size3room_LayoutA,Central,250,585,3room,A,75.31,87.86,3
TypeCentral_Length250_Width585_Size3room_LayoutB,Central,250,585,3room,B,75.31,87.86,3
TypeCentral_Length250_Width585_Size3room_LayoutC,Central,250,585,3room,C,75.31,87.86,3
TypeCentral_Length250_Width635_SizeStudio_LayoutA,Central,250,635,Studio,A,79.17,49.48,6
TypeCentral_Length250_Width635_SizeStudio_LayoutB,Central,250,635,Studio,B,79.17,49.48,6
TypeCentral_Length250_Width635_SizeStudio_LayoutC,Central,250,635,Studio,C,79.17,49.48,6
TypeCentral_Length250_Width635_Size2room_LayoutA,Central,250,635,2room,A,79.17,59.37,5
TypeCentral_Length250_Width635_Size2room_LayoutB,Central,250,635,2room,B,79.17,59.37,5
TypeCentral_Length250_Width635_Size2room_LayoutC,Central,250,635,2room,C,79.17,59.37,5
TypeCentral_Length250_Width635_Size3room_LayoutA,Central,250,635,3room,A,79.17,98.96,3
TypeCentral_Length250_Width635_Size3room_LayoutB,Central,250,635,3room,B,79.17,98.96,3
TypeCentral_Length250_Width635_Size3room_LayoutC,Central,250,635,3room,C,79.17,98.96,3
TypeCentral_Length250_Width685_SizeStudio_LayoutA,Central,250,685,Studio,A,79.8,45.6,7
TypeCentral_Length250_Width685_SizeStudio_LayoutB,Central,250,685,Studio,B,79.8,45.6,7
TypeCentral_Length250_Width685_SizeStudio_LayoutC,Central,250,685,Studio,C,79.8,45.6,7
TypeCentral_Length250_Width685_Size2room_LayoutA,Central,250,685,2room,A,79.8,63.84,5
TypeCentral_Length250_Width685_Size2room_LayoutB,Central,250,685,2room,B,79.8,63.84,5
TypeCentral_Length250_Width685_Size2room_LayoutC,Central,250,685,2room,C,79.8,63.84,5
TypeCentral_Length250_Width685_Size3room_LayoutA,Central,250,685,3room,A,79.8,79.8,4
TypeCentral_Length250_Width685_Size3room_LayoutB,Central,250,685,3room,B,79.8,79.8,4
TypeCentral_Length250_Width685_Size3room_LayoutC,Central,250,685,3room,C,79.8,79.8,4
TypeCentral_Length250_Width735_SizeStudio_LayoutA,Central,250,735,Studio,A,80.36,48.79,7
TypeCentral_Length250_Width735_SizeStudio_LayoutB,Central,250,735,Studio,B,80.36,48.79,7
TypeCentral_Length250_Width735_SizeStudio_LayoutC,Central,250,735,Studio,C,80.36,48.79,7
TypeCentral_Length250_Width735_Size2room_LayoutA,Central,250,735,2room,A,80.36,68.3,5
TypeCentral_Length250_Width735_Size2room_LayoutB,Central,250,735,2room,B,80.36,68.3,5
TypeCentral_Length250_Width735_Size2room_LayoutC,Central,250,735,2room,C,80.36,68.3,5
TypeCentral_Length250_Width735_Size3room_LayoutA,Central,250,735,3room,A,80.36,85.38,4
TypeCentral_Length250_Width735_Size3room_LayoutB,Central,250,735,3room,B,80.36,85.38,4
TypeCentral_Length250_Width735_Size3room_LayoutC,Central,250,735,3room,C,80.36,85.38,4
TypeCentral_Length275_Width535_SizeStudio_LayoutA,Central,275,535,Studio,A,75.71,54.13,5
TypeCentral_Length275_Width535_SizeStudio_LayoutB,Central,275,535,Studio,B,75.71,54.13,5
TypeCentral_Length275_Width535_SizeStudio_LayoutC,Central,275,535,Studio,C,75.71,54.13,5
TypeCentral_Length275_Width535_Size2room_LayoutA,Central,275,535,2room,A,75.71,54.13,5
TypeCentral_Length275_Width535_Size2room_LayoutB,Central,275,535,2room,B,75.71,54.13,5
TypeCentral_Length275_Width535_Size2room_LayoutC,Central,275,535,2room,C,75.71,54.13,5
TypeCentral_Length275_Width535_Size3room_LayoutA,Central,275,535,3room,A,75.71,90.22,3
TypeCentral_Length275_Width535_Size3room_LayoutB,Central,275,535,3room,B,75.71,90.22,3
TypeCentral_Length275_Width535_Size3room_LayoutC,Central,275,535,3room,C,75.71,90.22,3
TypeCentral_Length275_Width585_SizeStudio_LayoutA,Central,275,585,Studio,A,76.52,49.1,6
TypeCentral_Length275_Width585_SizeStudio_LayoutB,Central,275,585,Studio,B,76.52,49.1,6
TypeCentral_Length275_Width585_SizeStudio_LayoutC,Central,275,585,Studio,C,76.52,49.1,6
TypeCentral_Length275_Width585_Size2room_LayoutA,Central,275,585,2room,A,76.52,58.92,5
TypeCentral_Length275_Width585_Size2room_LayoutB,Central,275,585,2room,B,76.52,58.92,5
TypeCentral_Length275_Width585_Size2room_LayoutC,Central,275,585,2room,C,76.52,58.92,5
TypeCentral_Length275_Width585_Size3room_LayoutA,Central,275,585,3room,A,76.52,98.2,3
TypeCentral_Length275_Width585_Size3room_LayoutB,Central,275,585,3room,B,76.52,98.2,3
TypeCentral_Length275_Width585_Size3room_LayoutC,Central,275,585,3room,C,76.52,98.2,3
TypeCentral_Length275_Width635_SizeStudio_LayoutA,Central,275,635,Studio,A,80.09,47.19,7
TypeCentral_Length275_Width635_SizeStudio_LayoutB,Central,275,635,Studio,B,80.09,47.19,7
TypeCentral_Length275_Width635_SizeStudio_LayoutC,Central,275,635,Studio,C,80.09,47.19,7
TypeCentral_Length275_Width635_Size2room_LayoutA,Central,275,635,2room,A,80.09,66.07,5
TypeCentral_Length275_Width635_Size2room_LayoutB,Central,275,635,2room,B,80.09,66.07,5
TypeCentral_Length275_Width635_Size2room_LayoutC,Central,275,635,2room,C,80.09,66.07,5
TypeCentral_Length275_Width635_Size3room_LayoutA,Central,275,635,3room,A,80.09,82.59,4
TypeCentral_Length275_Width635_Size3room_LayoutB,Central,275,635,3room,B,80.09,82.59,4
TypeCentral_Length275_Width635_Size3room_LayoutC,Central,275,635,3room,C,80.09,82.59,4
TypeCentral_Length275_Width685_SizeStudio_LayoutA,Central,275,685,Studio,A,80.73,50.74,7
TypeCentral_Length275_Width685_SizeStudio_LayoutB,Central,275,685,Studio,B,80.73,50.74,7
TypeCentral_Length275_Width685_SizeStudio_LayoutC,Central,275,685,Studio,C,80.73,50.74,7
TypeCentral_Length275_Width685_Size2room_LayoutA,Central,275,685,2room,A,80.73,59.2,6
TypeCentral_Length275_Width685_Size2room_LayoutB,Central,275,685,2room,B,80.73,59.2,6
TypeCentral_Length275_Width685_Size2room_LayoutC,Central,275,685,2room,C,80.73,59.2,6
TypeCentral_Length275_Width685_Size3room_LayoutA,Central,275,685,3room,A,80.73,88.8,4
TypeCentral_Length275_Width685_Size3room_LayoutB,Central,275,685,3room,B,80.73,88.8,4
TypeCentral_Length275_Width685_Size3room_LayoutC,Central,275,685,3room,C,80.73,88.8,4
TypeCentral_Length275_Width735_SizeStudio_LayoutA,Central,275,735,Studio,A,81.29,47.5,8
TypeCentral_Length275_Width735_SizeStudio_LayoutB,Central,275,735,Studio,B,81.29,47.5,8
TypeCentral_Length275_Width735_SizeStudio_LayoutC,Central,275,735,Studio,C,81.29,47.5,8
TypeCentral_Length275_Width735_Size2room_LayoutA,Central,275,735,2room,A,81.29,63.34,6
TypeCentral_Length275_Width735_Size2room_LayoutB,Central,275,735,2room,B,81.29,63.34,6
TypeCentral_Length275_Width735_Size2room_LayoutC,Central,275,735,2room,C,81.29,63.34,6
TypeCentral_Length275_Width735_Size3room_LayoutA,Central,275,735,3room,A,81.29,95.01,4
TypeCentral_Length275_Width735_Size3room_LayoutB,Central,275,735,3room,B,81.29,95.01,4
TypeCentral_Length275_Width735_Size3room_LayoutC,Central,275,735,3room,C,81.29,95.01,4
TypeCentral_Length300_Width535_SizeStudio_LayoutA,Central,300,535,Studio,A,76.7,49.85,6
TypeCentral_Length300_Width535_SizeStudio_LayoutB,Central,300,535,Studio,B,76.7,49.85,6
TypeCentral_Length300_Width535_SizeStudio_LayoutC,Central,300,535,Studio,C,76.7,49.85,6
TypeCentral_Length300_Width535_Size2room_LayoutA,Central,300,535,2room,A,76.7,59.82,5
TypeCentral_Length300_Width535_Size2room_LayoutB,Central,300,535,2room,B,76.7,59.82,5
TypeCentral_Length300_Width535_Size2room_LayoutC,Central,300,535,2room,C,76.7,59.82,5
TypeCentral_Length300_Width535_Size3room_LayoutA,Central,300,535,3room,A,76.7,99.71,3
TypeCentral_Length300_Width535_Size3room_LayoutB,Central,300,535,3room,B,76.7,99.71,3
TypeCentral_Length300_Width535_Size3room_LayoutC,Central,300,535,3room,C,76.7,99.71,3
TypeCentral_Length300_Width585_SizeStudio_LayoutA,Central,300,585,Studio,A,77.52,46.51,7
TypeCentral_Length300_Width585_SizeStudio_LayoutB,Central,300,585,Studio,B,77.52,46.51,7
TypeCentral_Length300_Width585_SizeStudio_LayoutC,Central,300,585,Studio,C,77.52,46.51,7
TypeCentral_Length300_Width585_Size2room_LayoutA,Central,300,585,2room,A,77.52,65.12,5
TypeCentral_Length300_Width585_Size2room_LayoutB,Central,300,585,2room,B,77.52,65.12,5
TypeCentral_Length300_Width585_Size2room_LayoutC,Central,300,585,2room,C,77.52,65.12,5
TypeCentral_Length300_Width585_Size3room_LayoutA,Central,300,585,3room,A,77.52,81.4,4
TypeCentral_Length300_Width585_Size3room_LayoutB,Central,300,585,3room,B,77.52,81.4,4
TypeCentral_Length300_Width585_Size3room_LayoutC,Central,300,585,3room,C,77.52,81.4,4
TypeCentral_Length300_Width635_SizeStudio_LayoutA,Central,300,635,Studio,A,80.84,51.97,7
TypeCentral_Length300_Width635_SizeStudio_LayoutB,Central,300,635,Studio,B,80.84,51.97,7
TypeCentral_Length300_Width635_SizeStudio_LayoutC,Central,300,635,Studio,C,80.84,51.97,7
TypeCentral_Length300_Width635_Size2room_LayoutA,Central,300,635,2room,A,80.84,60.63,6
TypeCentral_Length300_Width635_Size2room_LayoutB,Central,300,635,2room,B,80.84,60.63,6
TypeCentral_Length300_Width635_Size2room_LayoutC,Central,300,635,2room,C,80.84,60.63,6
TypeCentral_Length300_Width635_Size3room_LayoutA,Central,300,635,3room,A,80.84,90.95,4
TypeCentral_Length300_Width635_Size3room_LayoutB,Central,300,635,3room,B,80.84,90.95,4
TypeCentral_Length300_Width635_Size3room_LayoutC,Central,300,635,3room,C,80.84,90.95,4
TypeCentral_Length300_Width685_SizeStudio_LayoutA,Central,300,685,Studio,A,81.49,48.89,8
TypeCentral_Length300_Width685_SizeStudio_LayoutB,Central,300,685,Studio,B,81.49,48.89,8
TypeCentral_Length300_Width685_SizeStudio_LayoutC,Central,300,685,Studio,C,81.49,48.89,8
TypeCentral_Length300_Width685_Size2room_LayoutA,Central,300,685,2room,A,81.49,55.88,7
TypeCentral_Length300_Width685_Size2room_LayoutB,Central,300,685,2room,B,81.49,55.88,7
TypeCentral_Length300_Width685_Size2room_LayoutC,Central,300,685,2room,C,81.49,55.88,7
TypeCentral_Length300_Width685_Size3room_LayoutA,Central,300,685,3room,A,81.49,78.23,5
TypeCentral_Length300_Width685_Size3room_LayoutB,Central,300,685,3room,B,81.49,78.23,5
TypeCentral_Length300_Width685_Size3room_LayoutC,Central,300,685,3room,C,81.49,78.23,5
TypeCentral_Length300_Width735_SizeStudio_LayoutA,Central,300,735,Studio,A,82.06,52.31,8
TypeCentral_Length300_Width735_SizeStudio_LayoutB,Central,300,735,Studio,B,82.06,52.31,8
TypeCentral_Length300_Width735_SizeStudio_LayoutC,Central,300,735,Studio,C,82.06,52.31,8
TypeCentral_Length300_Width735_Size2room_LayoutA,Central,300,735,2room,A,82.06,59.79,7
TypeCentral_Length300_Width735_Size2room_LayoutB,Central,300,735,2room,B,82.06,59.79,7
TypeCentral_Length300_Width735_Size2room_LayoutC,Central,300,735,2room,C,82.06,59.79,7
TypeCentral_Length300_Width735_Size3room_LayoutA,Central,300,735,3room,A,82.06,83.7,5
TypeCentral_Length300_Width735_Size3room_LayoutB,Central,300,735,3room,B,82.06,83.7,5
